Qty,Cost,Category,Description,URL
,10,3D printed parts,,
1,16.88,PCB,,https://jlcpcb.com/
1,6.30,DAC amplifier,Adafruit TLV320DAC3100 breakout board,https://thepihut.com/products/adafruit-tlv320dac3100-i2s-dac-with-headphone-and-speaker-out
1,10.40,MCU,ESP32-S3-DevKitC-1,https://www.aliexpress.com/item/1005009298826918.html
1,5.73,Differential pressure sensor,MPXV7007DP,https://www.aliexpress.com/item/1005009368234291.html
1,1.43,I2C ADC,MCP3221,https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP3221A7T-E-OT?qs=uHi2%2FQoPa5B%2FLE1GKuvdgg%3D%3D
21,"23.49 (30pcs)",Keyboard switches,Cherry MX Black,https://www.ebay.co.uk/itm/203537430495?_skw=mx+black+switch
1,3.80,"0.91"" OLED display",SSD1306,https://www.aliexpress.com/item/1005006365845676.html
1,1.16,rotary encoder,EC11,https://www.aliexpress.com/item/1005005983134515.html
1,0.80,Barrel jack,DC-005,https://www.aliexpress.com/item/4001206395694.html
21,2.27,Diode,1N4148,https://www.aliexpress.com/item/1005010526571917.html
4,3.00,Capacitors,"470pF, 100nF, 470uF",https://www.digikey.co.uk/
29,"5.75 (50 pcs)",Screw M3,"M3 * 12 Phillip's head",https://www.ebay.co.uk/itm/221326204336
29,"8.88 (100 pcs)",Heat-set insert M3,"M3 * 4 * 4.5",https://www.ebay.co.uk/itm/376068195160
1,3.20,Food grade silicone hose,"ID 3mm OD 5mm length 1mm",https://www.ebay.co.uk/itm/227352704780?var=526554578797
1,5.44,cork sheet,~2mm thickness,https://www.ebay.co.uk/itm/277911247699
TOTAL,108.53,,,
